life_insurer,year,claims_pending_start_no,claims_pending_start_amt,claims_intimated_no,claims_intimated_amt,total_claims_no,total_claims_amt,claims_paid_no,claims_paid_amt,claims_repudiated_no,claims_repudiated_amt,claims_rejected_no,claims_rejected_amt,claims_unclaimed_no,claims_unclaimed_amt,claims_pending_end_no,claims_pending_end_amt,claims_paid_ratio_no,claims_paid_ratio_amt,claims_repudiated_rejected_ratio_no,claims_repudiated_rejected_ratio_amt,claims_pending_ratio_no,claims_pending_ratio_amt,category,efficiency_score,claims_intimated_no_log
PVT.,2020-21,319.0,104.9581497708571,154012.0,9016.99045445566,154331.0,9121.948604226518,149734.0,8125.9194417469635,2996.0,587.692368204,98.0,56.154057394000006,173.0,21.335283567169384,1330.0,330.8474533143852,0.9702133725563884,0.8908096059631316,0.0200478192974839,0.0705821150208721,0.008617840874484,0.036269383622825,Individual Death Claims,0.9415477123844205,11.944792293417386
Pramerica,2020-21,2.0,0.221507992300001,645.0,29.286068448746875,647.0,29.50757644104688,638.0,28.625236416000003,8.0,0.673790559,0.0,0.0,0.0,0.0,1.0,0.2085494660468723,0.9860896445131376,0.9700978483675304,0.0123647604327666,0.0228344933832897,0.0015455950540958,0.0070676582491799,Individual Death Claims,0.9721792890262753,6.470799503782602
Pramerica Life,2020-21,2.0,0.221507992300001,645.0,29.286068448746875,647.0,29.50757644104688,638.0,28.625236416000003,8.0,0.673790559,0.0,0.0,0.0,0.0,1.0,0.2085494660468723,0.9860896445131376,0.9700978483675304,0.0123647604327666,0.0228344933832897,0.0015455950540958,0.0070676582491799,Individual Death Claims,0.9721792890262753,6.470799503782602
Private Total,2020-21,319.0,104.9581497708571,154012.0,9016.99045445566,154331.0,9121.948604226518,149734.0,8125.9194417469635,2996.0,587.692368204,98.0,56.154057394000006,173.0,21.335283567169384,1330.0,330.8474533143852,0.9702133725563884,0.8908096059631316,0.0200478192974839,0.0705821150208721,0.008617840874484,0.036269383622825,Individual Death Claims,0.9415477123844205,11.944792293417386
Reliance,2020-21,2.0,0.5719593880999979,9414.0,215.421583281,9416.0,215.9935426691,9274.0,205.261737213,138.0,9.248403224,0.0,0.0,0.0,0.0,4.0,1.4834022320999782,0.9849192863211554,0.9503142301224208,0.0146559048428207,0.0428179616377164,0.0004248088360237,0.0068678082398626,Individual Death Claims,0.9698385726423111,9.150059441091253
Reliance Nippon,2020-21,2.0,0.5719593880999979,9414.0,215.421583281,9416.0,215.9935426691,9274.0,205.261737213,138.0,9.248403224,0.0,0.0,0.0,0.0,4.0,1.4834022320999782,0.9849192863211554,0.9503142301224208,0.0146559048428207,0.0428179616377164,0.0004248088360237,0.0068678082398626,Individual Death Claims,0.9698385726423111,9.150059441091253
SBI Life,2020-21,36.0,7.776073142000121,34183.0,1614.551156835577,34219.0,1622.3272299775774,31855.0,1398.7752488049996,1302.0,103.960217938,0.0,0.0,150.0,18.051193688577985,912.0,101.54056954599984,0.9309155732195564,0.862202903926067,0.0380490370846605,0.0640809178425963,0.0266518600777345,0.0625894503092346,Individual Death Claims,0.8662146760571615,10.439512977323862
SUD,2020-21,3.0,0.721065,1632.0,77.40495871700011,1635.0,78.12602371700011,1569.0,72.494127605,58.0,4.613484112,0.0,0.0,0.0,0.0,8.0,1.0184120000001062,0.9596330275229358,0.927912674368264,0.0354740061162079,0.0590518228434568,0.0048929663608562,0.013035502788279,Individual Death Claims,0.9192660550458717,7.398174092970465
Sahara,2020-21,46.0,0.579634133,839.0,8.677096441,885.0,9.256730574,860.0,9.022812241,16.0,0.210218333,7.0,0.0,0.0,0.0,2.0,0.0237,0.9717514124293786,0.9747299188271696,0.0259887005649717,0.0227097819602154,0.0022598870056497,0.0025602992126148,Individual Death Claims,0.9435028248587571,6.733401891837359
Sahara Life,2020-21,46.0,0.579634133,839.0,8.677096441,885.0,9.256730574,860.0,9.022812241,16.0,0.210218333,7.0,0.0,0.0,0.0,2.0,0.0237,0.0,0.0,0.0,0.0,0.0,0.0,Individual Death Claims,0.0,6.733401891837359
